"label","penn_element_name","parameter","value","rt","person","condition","type","trial_n","reading_time","itemnum","subject"
"filler","DashedSentence","18","firefighters.","3243","Hande","r_branch","filler","11","668","1081","S[1]"
"filler","DashedSentence","17","assist","3243","Hande","r_branch","filler","11","264","1081","S[1]"
"filler","DashedSentence","16","that","3243","Hande","r_branch","filler","11","253","1081","S[1]"
"filler","DashedSentence","15","animals","3243","Hande","r_branch","filler","11","247","1081","S[1]"
"filler","DashedSentence","14","rescuing","3243","Hande","r_branch","filler","11","270","1081","S[1]"
"filler","DashedSentence","13","in","3243","Hande","r_branch","filler","11","269","1081","S[1]"
"filler","DashedSentence","12","specializes","3243","Hande","r_branch","filler","11","403","1081","S[1]"
"filler","DashedSentence","11","who","3243","Hande","r_branch","filler","11","290","1081","S[1]"
"filler","DashedSentence","10","handler","3243","Hande","r_branch","filler","11","205","1081","S[1]"
"filler","DashedSentence","9","a","3243","Hande","r_branch","filler","11","263","1081","S[1]"
"filler","DashedSentence","8","by","3243","Hande","r_branch","filler","11","317","1081","S[1]"
"filler","DashedSentence","7","trained","3243","Hande","r_branch","filler","11","319","1081","S[1]"
"filler","DashedSentence","6","was","3243","Hande","r_branch","filler","11","305","1081","S[1]"
"filler","DashedSentence","5","that","3243","Hande","r_branch","filler","11","196","1081","S[1]"
"filler","DashedSentence","4","dog","3243","Hande","r_branch","filler","11","525","1081","S[1]"
"filler","DashedSentence","3","a","3243","Hande","r_branch","filler","11","292","1081","S[1]"
"filler","DashedSentence","2","adopted","3243","Hande","r_branch","filler","11","347","1081","S[1]"
"filler","DashedSentence","1","We","3243","Hande","r_branch","filler","11","410","1081","S[1]"
"filler","grade","Choice","6","3243","Hande","r_branch","filler","11","NULL","1081","S[1]"
"filler","DashedSentence","19","couches.","3855","Will","r_branch","filler","13","562","1028","S[1]"
"filler","DashedSentence","18","massive","3855","Will","r_branch","filler","13","334","1028","S[1]"
"filler","DashedSentence","17","three","3855","Will","r_branch","filler","13","332","1028","S[1]"
"filler","DashedSentence","16","least","3855","Will","r_branch","filler","13","319","1028","S[1]"
"filler","DashedSentence","15","at","3855","Will","r_branch","filler","13","346","1028","S[1]"
"filler","DashedSentence","14","needed","3855","Will","r_branch","filler","13","763","1028","S[1]"
"filler","DashedSentence","13","furnish%2C","3855","Will","r_branch","filler","13","283","1028","S[1]"
"filler","DashedSentence","12","to","3855","Will","r_branch","filler","13","323","1028","S[1]"
"filler","DashedSentence","11","hired","3855","Will","r_branch","filler","13","254","1028","S[1]"
"filler","DashedSentence","10","been","3855","Will","r_branch","filler","13","318","1028","S[1]"
"filler","DashedSentence","9","had","3855","Will","r_branch","filler","13","286","1028","S[1]"
"filler","DashedSentence","8","they","3855","Will","r_branch","filler","13","217","1028","S[1]"
"filler","DashedSentence","7","which","3855","Will","r_branch","filler","13","691","1028","S[1]"
"filler","DashedSentence","6","room%2C","3855","Will","r_branch","filler","13","303","1028","S[1]"
"filler","DashedSentence","5","the","3855","Will","r_branch","filler","13","369","1028","S[1]"
"filler","DashedSentence","4","thought","3855","Will","r_branch","filler","13","256","1028","S[1]"
"filler","DashedSentence","3","designer","3855","Will","r_branch","filler","13","286","1028","S[1]"
"filler","DashedSentence","2","interior","3855","Will","r_branch","filler","13","190","1028","S[1]"
"filler","DashedSentence","1","The","3855","Will","r_branch","filler","13","291","1028","S[1]"
"filler","grade","Choice","4","3855","Will","r_branch","filler","13","NULL","1028","S[1]"
"filler","DashedSentence","14","published.","1682","Carmen","island","filler","14","493","1011","S[1]"
"filler","DashedSentence","13","was","1682","Carmen","island","filler","14","276","1011","S[1]"
"filler","DashedSentence","12","read","1682","Carmen","island","filler","14","253","1011","S[1]"
"filler","DashedSentence","11","to","1682","Carmen","island","filler","14","335","1011","S[1]"
"filler","DashedSentence","10","wanted","1682","Carmen","island","filler","14","257","1011","S[1]"
"filler","DashedSentence","9","he","1682","Carmen","island","filler","14","532","1011","S[1]"
"filler","DashedSentence","8","classmate%2C","1682","Carmen","island","filler","14","369","1011","S[1]"
"filler","DashedSentence","7","his","1682","Carmen","island","filler","14","221","1011","S[1]"
"filler","DashedSentence","6","by","1682","Carmen","island","filler","14","729","1011","S[1]"
"filler","DashedSentence","5","sent%2C","1682","Carmen","island","filler","14","358","1011","S[1]"
"filler","DashedSentence","4","paper","1682","Carmen","island","filler","14","279","1011","S[1]"
"filler","DashedSentence","3","which","1682","Carmen","island","filler","14","257","1011","S[1]"
"filler","DashedSentence","2","forgot","1682","Carmen","island","filler","14","264","1011","S[1]"
"filler","DashedSentence","1","Paul","1682","Carmen","island","filler","14","308","1011","S[1]"
"filler","grade","Choice","2","1682","Carmen","island","filler","14","NULL","1011","S[1]"
"filler","DashedSentence","14","talk.","1875","Will","island","filler","16","544","1016","S[1]"
"filler","DashedSentence","13","the","1875","Will","island","filler","16","301","1016","S[1]"
"filler","DashedSentence","12","gave","1875","Will","island","filler","16","316","1016","S[1]"
"filler","DashedSentence","11","wrote","1875","Will","island","filler","16","359","1016","S[1]"
"filler","DashedSentence","10","who","1875","Will","island","filler","16","328","1016","S[1]"
"filler","DashedSentence","9","author","1875","Will","island","filler","16","319","1016","S[1]"
"filler","DashedSentence","8","the","1875","Will","island","filler","16","325","1016","S[1]"
"filler","DashedSentence","7","book","1875","Will","island","filler","16","247","1016","S[1]"
"filler","DashedSentence","6","what","1875","Will","island","filler","16","249","1016","S[1]"
"filler","DashedSentence","5","idea","1875","Will","island","filler","16","236","1016","S[1]"
"filler","DashedSentence","4","no","1875","Will","island","filler","16","256","1016","S[1]"
"filler","DashedSentence","3","had","1875","Will","island","filler","16","365","1016","S[1]"
"filler","DashedSentence","2","scientist","1875","Will","island","filler","16","291","1016","S[1]"
"filler","DashedSentence","1","The","1875","Will","island","filler","16","379","1016","S[1]"
"filler","grade","Choice","1","1875","Will","island","filler","16","NULL","1016","S[1]"
"filler","DashedSentence","16","shreds.","2974","Tessa","1_embed","filler","17","398","1051","S[1]"
"filler","DashedSentence","15","to","2974","Tessa","1_embed","filler","17","313","1051","S[1]"
"filler","DashedSentence","14","ripped","2974","Tessa","1_embed","filler","17","361","1051","S[1]"
"filler","DashedSentence","13","was","2974","Tessa","1_embed","filler","17","369","1051","S[1]"
"filler","DashedSentence","12","opinions","2974","Tessa","1_embed","filler","17","313","1051","S[1]"
"filler","DashedSentence","11","and","2974","Tessa","1_embed","filler","17","614","1051","S[1]"
"filler","DashedSentence","10","discoveries","2974","Tessa","1_embed","filler","17","373","1051","S[1]"
"filler","DashedSentence","9","scientific","2974","Tessa","1_embed","filler","17","273","1051","S[1]"
"filler","DashedSentence","8","reports","2974","Tessa","1_embed","filler","17","315","1051","S[1]"
"filler","DashedSentence","7","which","2974","Tessa","1_embed","filler","17","414","1051","S[1]"
"filler","DashedSentence","6","newspaper","2974","Tessa","1_embed","filler","17","271","1051","S[1]"
"filler","DashedSentence","5","the","2974","Tessa","1_embed","filler","17","297","1051","S[1]"
"filler","DashedSentence","4","of","2974","Tessa","1_embed","filler","17","629","1051","S[1]"
"filler","DashedSentence","3","page","2974","Tessa","1_embed","filler","17","393","1051","S[1]"
"filler","DashedSentence","2","front","2974","Tessa","1_embed","filler","17","249","1051","S[1]"
"filler","DashedSentence","1","The","2974","Tessa","1_embed","filler","17","367","1051","S[1]"
"filler","grade","Choice","6","2974","Tessa","1_embed","filler","17","NULL","1051","S[1]"
"filler","DashedSentence","21","yesterday.","1748","Tessa","1_embed","filler","19","304","1048","S[1]"
"filler","DashedSentence","20","time","1748","Tessa","1_embed","filler","19","257","1048","S[1]"
"filler","DashedSentence","19","last","1748","Tessa","1_embed","filler","19","260","1048","S[1]"
"filler","DashedSentence","18","the","1748","Tessa","1_embed","filler","19","264","1048","S[1]"
"filler","DashedSentence","17","for","1748","Tessa","1_embed","filler","19","375","1048","S[1]"
"filler","DashedSentence","16","house%2C","1748","Tessa","1_embed","filler","19","348","1048","S[1]"
"filler","DashedSentence","15","his","1748","Tessa","1_embed","filler","19","253","1048","S[1]"
"filler","DashedSentence","14","of","1748","Tessa","1_embed","filler","19","309","1048","S[1]"
"filler","DashedSentence","13","out","1748","Tessa","1_embed","filler","19","338","1048","S[1]"
"filler","DashedSentence","12","walked","1748","Tessa","1_embed","filler","19","347","1048","S[1]"
"filler","DashedSentence","11","years","1748","Tessa","1_embed","filler","19","391","1048","S[1]"
"filler","DashedSentence","10","thirty","1748","Tessa","1_embed","filler","19","310","1048","S[1]"
"filler","DashedSentence","9","for","1748","Tessa","1_embed","filler","19","272","1048","S[1]"
"filler","DashedSentence","8","who","1748","Tessa","1_embed","filler","19","412","1048","S[1]"
"filler","DashedSentence","7","millionaire%2C","1748","Tessa","1_embed","filler","19","296","1048","S[1]"
"filler","DashedSentence","6","the","1748","Tessa","1_embed","filler","19","282","1048","S[1]"
"filler","DashedSentence","5","for","1748","Tessa","1_embed","filler","19","262","1048","S[1]"
"filler","DashedSentence","4","worked","1748","Tessa","1_embed","filler","19","279","1048","S[1]"
"filler","DashedSentence","3","who","1748","Tessa","1_embed","filler","19","390","1048","S[1]"
"filler","DashedSentence","2","butler","1748","Tessa","1_embed","filler","19","282","1048","S[1]"
"filler","DashedSentence","1","The","1748","Tessa","1_embed","filler","19","254","1048","S[1]"
"filler","grade","Choice","1","1748","Tessa","1_embed","filler","19","NULL","1048","S[1]"
"filler","DashedSentence","15","once","2541","Jackson","1_embed","filler","20","34","1093","S[1]"
"filler","DashedSentence","14","for","2541","Jackson","1_embed","filler","20","34","1093","S[1]"
"filler","DashedSentence","13","groceries","2541","Jackson","1_embed","filler","20","522","1093","S[1]"
"filler","DashedSentence","12","sell","2541","Jackson","1_embed","filler","20","356","1093","S[1]"
"filler","DashedSentence","11","to","2541","Jackson","1_embed","filler","20","366","1093","S[1]"
"filler","DashedSentence","10","tried","2541","Jackson","1_embed","filler","20","276","1093","S[1]"
"filler","DashedSentence","9","than","2541","Jackson","1_embed","filler","20","342","1093","S[1]"
"filler","DashedSentence","8","other","2541","Jackson","1_embed","filler","20","343","1093","S[1]"
"filler","DashedSentence","7","nothing","2541","Jackson","1_embed","filler","20","412","1093","S[1]"
"filler","DashedSentence","6","stocked","2541","Jackson","1_embed","filler","20","370","1093","S[1]"
"filler","DashedSentence","5","who","2541","Jackson","1_embed","filler","20","410","1093","S[1]"
"filler","DashedSentence","4","who","2541","Jackson","1_embed","filler","20","293","1093","S[1]"
"filler","DashedSentence","3","storekeeper","2541","Jackson","1_embed","filler","20","345","1093","S[1]"
"filler","DashedSentence","2","the","2541","Jackson","1_embed","filler","20","414","1093","S[1]"
"filler","DashedSentence","1","Colonge%2C","2541","Jackson","1_embed","filler","20","264","1093","S[1]"
"filler","grade","Choice","1","2541","Jackson","1_embed","filler","20","NULL","1093","S[1]"
"filler","DashedSentence","19","corner.","4449","Carmen","coordinate","filler","22","277","1013","S[1]"
"filler","DashedSentence","18","the","4449","Carmen","coordinate","filler","22","294","1013","S[1]"
"filler","DashedSentence","17","in","4449","Carmen","coordinate","filler","22","196","1013","S[1]"
"filler","DashedSentence","16","box","4449","Carmen","coordinate","filler","22","213","1013","S[1]"
"filler","DashedSentence","15","the","4449","Carmen","coordinate","filler","22","225","1013","S[1]"
"filler","DashedSentence","14","in","4449","Carmen","coordinate","filler","22","237","1013","S[1]"
"filler","DashedSentence","13","sitting","4449","Carmen","coordinate","filler","22","242","1013","S[1]"
"filler","DashedSentence","12","and","4449","Carmen","coordinate","filler","22","300","1013","S[1]"
"filler","DashedSentence","11","unopened","4449","Carmen","coordinate","filler","22","258","1013","S[1]"
"filler","DashedSentence","10","still","4449","Carmen","coordinate","filler","22","243","1013","S[1]"
"filler","DashedSentence","9","is","4449","Carmen","coordinate","filler","22","230","1013","S[1]"
"filler","DashedSentence","8","ago","4449","Carmen","coordinate","filler","22","241","1013","S[1]"
"filler","DashedSentence","7","months","4449","Carmen","coordinate","filler","22","311","1013","S[1]"
"filler","DashedSentence","6","three","4449","Carmen","coordinate","filler","22","249","1013","S[1]"
"filler","DashedSentence","5","bought","4449","Carmen","coordinate","filler","22","200","1013","S[1]"
"filler","DashedSentence","4","we","4449","Carmen","coordinate","filler","22","244","1013","S[1]"
