"subject","label","penn_element_name","parameter","value","rt","type","trial_n","reading_time","itemnum"
"S[1]","practice_first","DashedSentence","14","this.","2299","practice","1","443","500"
"S[1]","practice_first","DashedSentence","13","like","2299","practice","1","272","500"
"S[1]","practice_first","DashedSentence","12","presented","2299","practice","1","314","500"
"S[1]","practice_first","DashedSentence","11","be","2299","practice","1","363","500"
"S[1]","practice_first","DashedSentence","10","will","2299","practice","1","205","500"
"S[1]","practice_first","DashedSentence","9","way%2C","2299","practice","1","222","500"
"S[1]","practice_first","DashedSentence","8","the","2299","practice","1","248","500"
"S[1]","practice_first","DashedSentence","7","by","2299","practice","1","187","500"
"S[1]","practice_first","DashedSentence","6","read","2299","practice","1","220","500"
"S[1]","practice_first","DashedSentence","5","to","2299","practice","1","236","500"
"S[1]","practice_first","DashedSentence","4","have","2299","practice","1","221","500"
"S[1]","practice_first","DashedSentence","3","you","2299","practice","1","271","500"
"S[1]","practice_first","DashedSentence","2","which","2299","practice","1","380","500"
"S[1]","practice_first","DashedSentence","1","Sentence%2C","2299","practice","1","640","500"
"S[1]","practice_first","grade","Choice","5","2299","practice","1","NULL","500"
"S[1]","practice_first","DashedSentence","20","","2062","practice","2","849","501"
"S[1]","practice_first","DashedSentence","19","you.","2062","practice","2","269","501"
"S[1]","practice_first","DashedSentence","18","help","2062","practice","2","257","501"
"S[1]","practice_first","DashedSentence","17","to","2062","practice","2","241","501"
"S[1]","practice_first","DashedSentence","16","stuff","2062","practice","2","294","501"
"S[1]","practice_first","DashedSentence","15","some","2062","practice","2","220","501"
"S[1]","practice_first","DashedSentence","14","have","2062","practice","2","636","501"
"S[1]","practice_first","DashedSentence","13","will","2062","practice","2","293","501"
"S[1]","practice_first","DashedSentence","12","easier%2C","2062","practice","2","289","501"
"S[1]","practice_first","DashedSentence","11","be","2062","practice","2","240","501"
"S[1]","practice_first","DashedSentence","10","hopefully","2062","practice","2","218","501"
"S[1]","practice_first","DashedSentence","9","which","2062","practice","2","278","501"
"S[1]","practice_first","DashedSentence","8","some%2C","2062","practice","2","390","501"
"S[1]","practice_first","DashedSentence","7","But","2062","practice","2","408","501"
"S[1]","practice_first","DashedSentence","6","read.","2062","practice","2","245","501"
"S[1]","practice_first","DashedSentence","5","to","2062","practice","2","233","501"
"S[1]","practice_first","DashedSentence","4","harder","2062","practice","2","197","501"
"S[1]","practice_first","DashedSentence","3","be","2062","practice","2","219","501"
"S[1]","practice_first","DashedSentence","2","will","2062","practice","2","293","501"
"S[1]","practice_first","DashedSentence","1","Some","2062","practice","2","193","501"
"S[1]","practice_first","grade","Choice","4","2062","practice","2","NULL","501"
"S[1]","practice_good_item","DashedSentence","22","music.","2106","practice","3","398","502"
"S[1]","practice_good_item","DashedSentence","21","country","2106","practice","3","341","502"
"S[1]","practice_good_item","DashedSentence","20","revolutionizing","2106","practice","3","414","502"
"S[1]","practice_good_item","DashedSentence","19","for","2106","practice","3","243","502"
"S[1]","practice_good_item","DashedSentence","18","famous","2106","practice","3","334","502"
"S[1]","practice_good_item","DashedSentence","17","is","2106","practice","3","433","502"
"S[1]","practice_good_item","DashedSentence","16","inspirational%2C","2106","practice","3","208","502"
"S[1]","practice_good_item","DashedSentence","15","very","2106","practice","3","232","502"
"S[1]","practice_good_item","DashedSentence","14","and","2106","practice","3","257","502"
"S[1]","practice_good_item","DashedSentence","13","woman","2106","practice","3","242","502"
"S[1]","practice_good_item","DashedSentence","12","young","2106","practice","3","328","502"
"S[1]","practice_good_item","DashedSentence","11","achieving","2106","practice","3","240","502"
"S[1]","practice_good_item","DashedSentence","10","high","2106","practice","3","222","502"
"S[1]","practice_good_item","DashedSentence","9","a","2106","practice","3","270","502"
"S[1]","practice_good_item","DashedSentence","8","is","2106","practice","3","301","502"
"S[1]","practice_good_item","DashedSentence","7","way","2106","practice","3","227","502"
"S[1]","practice_good_item","DashedSentence","6","the","2106","practice","3","216","502"
"S[1]","practice_good_item","DashedSentence","5","by","2106","practice","3","248","502"
"S[1]","practice_good_item","DashedSentence","4","who","2106","practice","3","408","502"
"S[1]","practice_good_item","DashedSentence","3","singer%2C","2106","practice","3","209","502"
"S[1]","practice_good_item","DashedSentence","2","favorite","2106","practice","3","249","502"
"S[1]","practice_good_item","DashedSentence","1","My","2106","practice","3","397","502"
"S[1]","practice_good_item","grade","Choice","6","2106","practice","3","NULL","502"
"S[1]","practice_bad_item","DashedSentence","16","yesterday.","1988","practice","4","320","505"
"S[1]","practice_bad_item","DashedSentence","15","book","1988","practice","4","255","505"
"S[1]","practice_bad_item","DashedSentence","14","the","1988","practice","4","337","505"
"S[1]","practice_bad_item","DashedSentence","13","borrow","1988","practice","4","309","505"
"S[1]","practice_bad_item","DashedSentence","12","will","1988","practice","4","258","505"
"S[1]","practice_bad_item","DashedSentence","11","who","1988","practice","4","245","505"
"S[1]","practice_bad_item","DashedSentence","10","grandpa","1988","practice","4","241","505"
"S[1]","practice_bad_item","DashedSentence","9","her","1988","practice","4","229","505"
"S[1]","practice_bad_item","DashedSentence","8","to","1988","practice","4","206","505"
"S[1]","practice_bad_item","DashedSentence","7","gift","1988","practice","4","241","505"
"S[1]","practice_bad_item","DashedSentence","6","a","1988","practice","4","211","505"
"S[1]","practice_bad_item","DashedSentence","5","as","1988","practice","4","220","505"
"S[1]","practice_bad_item","DashedSentence","4","book","1988","practice","4","242","505"
"S[1]","practice_bad_item","DashedSentence","3","this","1988","practice","4","232","505"
"S[1]","practice_bad_item","DashedSentence","2","bought","1988","practice","4","230","505"
"S[1]","practice_bad_item","DashedSentence","1","Lucy","1988","practice","4","345","505"
"S[1]","practice_bad_item","grade","Choice","2","1988","practice","4","NULL","505"
"S[1]","practice_rest","DashedSentence","20","boss.","1988","practice","5","301","506"
"S[1]","practice_rest","DashedSentence","19","her","1988","practice","5","214","506"
"S[1]","practice_rest","DashedSentence","18","with","1988","practice","5","200","506"
"S[1]","practice_rest","DashedSentence","17","fight","1988","practice","5","196","506"
"S[1]","practice_rest","DashedSentence","16","huge","1988","practice","5","237","506"
"S[1]","practice_rest","DashedSentence","15","a","1988","practice","5","252","506"
"S[1]","practice_rest","DashedSentence","14","having","1988","practice","5","238","506"
"S[1]","practice_rest","DashedSentence","13","after","1988","practice","5","288","506"
"S[1]","practice_rest","DashedSentence","12","working","1988","practice","5","179","506"
"S[1]","practice_rest","DashedSentence","11","stopped","1988","practice","5","171","506"
"S[1]","practice_rest","DashedSentence","10","wife","1988","practice","5","201","506"
"S[1]","practice_rest","DashedSentence","9","her","1988","practice","5","544","506"
"S[1]","practice_rest","DashedSentence","8","for","1988","practice","5","219","506"
"S[1]","practice_rest","DashedSentence","7","still%2C","1988","practice","5","206","506"
"S[1]","practice_rest","DashedSentence","6","car","1988","practice","5","206","506"
"S[1]","practice_rest","DashedSentence","5","a","1988","practice","5","211","506"
"S[1]","practice_rest","DashedSentence","4","buy","1988","practice","5","213","506"
"S[1]","practice_rest","DashedSentence","3","to","1988","practice","5","206","506"
"S[1]","practice_rest","DashedSentence","2","yet","1988","practice","5","210","506"
"S[1]","practice_rest","DashedSentence","1","Sherry","1988","practice","5","250","506"
"S[1]","practice_rest","grade","Choice","1","1988","practice","5","NULL","506"
"S[1]","practice_rest","DashedSentence","13","she?","1801","practice","6","295","508"
"S[1]","practice_rest","DashedSentence","12","doesn't","1801","practice","6","511","508"
"S[1]","practice_rest","DashedSentence","11","know%2C","1801","practice","6","376","508"
"S[1]","practice_rest","DashedSentence","10","I","1801","practice","6","446","508"
"S[1]","practice_rest","DashedSentence","9","people","1801","practice","6","226","508"
"S[1]","practice_rest","DashedSentence","8","most","1801","practice","6","237","508"
"S[1]","practice_rest","DashedSentence","7","than","1801","practice","6","214","508"
"S[1]","practice_rest","DashedSentence","6","taller","1801","practice","6","273","508"
"S[1]","practice_rest","DashedSentence","5","much","1801","practice","6","267","508"
"S[1]","practice_rest","DashedSentence","4","tall%2C","1801","practice","6","189","508"
"S[1]","practice_rest","DashedSentence","3","very","1801","practice","6","257","508"
"S[1]","practice_rest","DashedSentence","2","is","1801","practice","6","326","508"
"S[1]","practice_rest","DashedSentence","1","Joanna","1801","practice","6","224","508"
"S[1]","practice_rest","grade","Choice","2","1801","practice","6","NULL","508"
"S[1]","practice_rest","DashedSentence","13","me.","1536","practice","7","280","507"
"S[1]","practice_rest","DashedSentence","12","gift","1536","practice","7","296","507"
"S[1]","practice_rest","DashedSentence","11","a","1536","practice","7","276","507"
"S[1]","practice_rest","DashedSentence","10","and","1536","practice","7","226","507"
"S[1]","practice_rest","DashedSentence","9","smile","1536","practice","7","212","507"
"S[1]","practice_rest","DashedSentence","8","big","1536","practice","7","201","507"
"S[1]","practice_rest","DashedSentence","7","a","1536","practice","7","271","507"
"S[1]","practice_rest","DashedSentence","6","bringing","1536","practice","7","331","507"
"S[1]","practice_rest","DashedSentence","5","today%2C","1536","practice","7","211","507"
"S[1]","practice_rest","DashedSentence","4","house","1536","practice","7","644","507"
"S[1]","practice_rest","DashedSentence","3","my","1536","practice","7","219","507"
"S[1]","practice_rest","DashedSentence","2","came","1536","practice","7","287","507"
"S[1]","practice_rest","DashedSentence","1","Batman","1536","practice","7","323","507"
"S[1]","practice_rest","grade","Choice","1","1536","practice","7","NULL","507"
"S[1]","practice_rest","DashedSentence","25","it.","2068","practice","8","346","504"
"S[1]","practice_rest","DashedSentence","24","buy","2068","practice","8","284","504"
"S[1]","practice_rest","DashedSentence","23","definitely","2068","practice","8","341","504"
"S[1]","practice_rest","DashedSentence","22","would","2068","practice","8","256","504"
"S[1]","practice_rest","DashedSentence","21","we","2068","practice","8","540","504"
"S[1]","practice_rest","DashedSentence","20","family%2C","2068","practice","8","310","504"
"S[1]","practice_rest","DashedSentence","19","big","2068","practice","8","291","504"
"S[1]","practice_rest","DashedSentence","18","our","2068","practice","8","242","504"
"S[1]","practice_rest","DashedSentence","17","with","2068","practice","8","372","504"
"S[1]","practice_rest","DashedSentence","16","help","2068","practice","8","256","504"
"S[1]","practice_rest","DashedSentence","15","would","2068","practice","8","376","504"
"S[1]","practice_rest","DashedSentence","14","way","2068","practice","8","192","504"
"S[1]","practice_rest","DashedSentence","13","the","2068","practice","8","171","504"
"S[1]","practice_rest","DashedSentence","12","by","2068","practice","8","435","504"
"S[1]","practice_rest","DashedSentence","11","which","2068","practice","8","635","504"
"S[1]","practice_rest","DashedSentence","10","bathrom%2C","2068","practice","8","236","504"
"S[1]","practice_rest","DashedSentence","9","a","2068","practice","8","240","504"
"S[1]","practice_rest","DashedSentence","8","and","2068","practice","8","248","504"
"S[1]","practice_rest","DashedSentence","7","kitchen","2068","practice","8","224","504"
"S[1]","practice_rest","DashedSentence","6","big","2068","practice","8","207","504"
"S[1]","practice_rest","DashedSentence","5","a","2068","practice","8","239","504"
"S[1]","practice_rest","DashedSentence","4","had","2068","practice","8","223","504"
"S[1]","practice_rest","DashedSentence","3","apartment","2068","practice","8","278","504"
"S[1]","practice_rest","DashedSentence","2","this","2068","practice","8","299","504"
"S[1]","practice_rest","DashedSentence","1","If","2068","practice","8","225","504"
"S[1]","practice_rest","grade","Choice","4","2068","practice","8","NULL","504"
"S[1]","practice_rest","DashedSentence","21","black.","2486","practice","9","326","503"
"S[1]","practice_rest","DashedSentence","20","are","2486","practice","9","321","503"
"S[1]","practice_rest","DashedSentence","19","Nick's","2486","practice","9","362","503"
"S[1]","practice_rest","DashedSentence","18","brother","2486","practice","9","238","503"
"S[1]","practice_rest","DashedSentence","17","her","2486","practice","9","244","503"
"S[1]","practice_rest","DashedSentence","16","is","2486","practice","9","261","503"
"S[1]","practice_rest","DashedSentence","15","which","2486","practice","9","364","503"
"S[1]","practice_rest","DashedSentence","14","there","2486","practice","9","235","503"
"S[1]","practice_rest","DashedSentence","13","over","2486","practice","9","242","503"
"S[1]","practice_rest","DashedSentence","12","desk","2486","practice","9","261","503"
"S[1]","practice_rest","DashedSentence","11","other","2486","practice","9","213","503"
"S[1]","practice_rest","DashedSentence","10","that","2486","practice","9","230","503"
"S[1]","practice_rest","DashedSentence","9","and","2486","practice","9","437","503"
"S[1]","practice_rest","DashedSentence","8","Sandra%2C","2486","practice","9","204","503"
"S[1]","practice_rest","DashedSentence","7","to","2486","practice","9","177","503"
"S[1]","practice_rest","DashedSentence","6","belong","2486","practice","9","188","503"
"S[1]","practice_rest","DashedSentence","5","to","2486","practice","9","211","503"
"S[1]","practice_rest","DashedSentence","4","used","2486","practice","9","277","503"
"S[1]","practice_rest","DashedSentence","3","which","2486","practice","9","226","503"
"S[1]","practice_rest","DashedSentence","2","desk%2C","2486","practice","9","208","503"
"S[1]","practice_rest","DashedSentence","1","This","2486","practice","9","207","503"
"S[1]","practice_rest","grade","Choice","4","2486","practice","9","NULL","503"
"S[2]","practice_first","DashedSentence","1","Sentence%2C","2604","practice","1","495","500"
"S[2]","practice_first","DashedSentence","2","which","2604","practice","1","547","500"
"S[2]","practice_first","DashedSentence","3","you","2604","practice","1","450","500"
"S[2]","practice_first","DashedSentence","4","have","2604","practice","1","487","500"
"S[2]","practice_first","DashedSentence","5","to","2604","practice","1","452","500"
"S[2]","practice_first","DashedSentence","6","read","2604","practice","1","459","500"
"S[2]","practice_first","DashedSentence","7","by","2604","practice","1","441","500"
"S[2]","practice_first","DashedSentence","8","the","2604","practice","1","431","500"
"S[2]","practice_first","DashedSentence","9","way%2C","2604","practice","1","443","500"
"S[2]","practice_first","DashedSentence","10","will","2604","practice","1","414","500"
"S[2]","practice_first","DashedSentence","11","be","2604","practice","1","458","500"
"S[2]","practice_first","DashedSentence","12","presented","2604","practice","1","476","500"
"S[2]","practice_first","DashedSentence","13","like","2604","practice","1","403","500"
"S[2]","practice_first","DashedSentence","14","this.","2604","practice","1","1166","500"
"S[2]","practice_first","grade","Choice","1","2604","practice","1","NULL","500"
"S[2]","practice_first","DashedSentence","1","Some","5507","practice","2","483","501"
"S[2]","practice_first","DashedSentence","2","will","5507","practice","2","498","501"
"S[2]","practice_first","DashedSentence","3","be","5507","practice","2","491","501"
"S[2]","practice_first","DashedSentence","4","harder","5507","practice","2","505","501"
"S[2]","practice_first","DashedSentence","5","to","5507","practice","2","454","501"
"S[2]","practice_first","DashedSentence","6","read.","5507","practice","2","458","501"
"S[2]","practice_first","DashedSentence","7","But","5507","practice","2","440","501"
"S[2]","practice_first","DashedSentence","8","some%2C","5507","practice","2","433","501"
"S[2]","practice_first","DashedSentence","9","which","5507","practice","2","458","501"
"S[2]","practice_first","DashedSentence","10","hopefully","5507","practice","2","432","501"
"S[2]","practice_first","DashedSentence","11","be","5507","practice","2","424","501"
"S[2]","practice_first","DashedSentence","12","easier%2C","5507","practice","2","538","501"
"S[2]","practice_first","DashedSentence","13","will","5507","practice","2","437","501"
"S[2]","practice_first","DashedSentence","14","have","5507","practice","2","461","501"
"S[2]","practice_first","DashedSentence","15","some","5507","practice","2","445","501"
"S[2]","practice_first","DashedSentence","16","stuff","5507","practice","2","427","501"
"S[2]","practice_first","DashedSentence","17","to","5507","practice","2","407","501"
"S[2]","practice_first","DashedSentence","18","help","5507","practice","2","452","501"
"S[2]","practice_first","DashedSentence","19","you.","5507","practice","2","1338","501"
"S[2]","practice_first","DashedSentence","20","","5507","practice","2","3162","501"
"S[2]","practice_first","grade","Choice","5","5507","practice","2","NULL","501"
"S[2]","practice_good_item","DashedSentence","1","My","2853","practice","3","434","502"
"S[2]","practice_good_item","DashedSentence","2","favorite","2853","practice","3","506","502"
"S[2]","practice_good_item","DashedSentence","3","singer%2C","2853","practice","3","474","502"
"S[2]","practice_good_item","DashedSentence","4","who","2853","practice","3","466","502"
"S[2]","practice_good_item","DashedSentence","5","by","2853","practice","3","398","502"
"S[2]","practice_good_item","DashedSentence","6","the","2853","practice","3","382","502"
"S[2]","practice_good_item","DashedSentence","7","way","2853","practice","3","420","502"
"S[2]","practice_good_item","DashedSentence","8","is","2853","practice","3","449","502"
"S[2]","practice_good_item","DashedSentence","9","a","2853","practice","3","462","502"
"S[2]","practice_good_item","DashedSentence","10","high","2853","practice","3","433","502"
"S[2]","practice_good_item","DashedSentence","11","achieving","2853","practice","3","511","502"
"S[2]","practice_good_item","DashedSentence","12","young","2853","practice","3","473","502"
"S[2]","practice_good_item","DashedSentence","13","woman","2853","practice","3","417","502"
"S[2]","practice_good_item","DashedSentence","14","and","2853","practice","3","442","502"
"S[2]","practice_good_item","DashedSentence","15","very","2853","practice","3","411","502"
"S[2]","practice_good_item","DashedSentence","16","inspirational%2C","2853","practice","3","562","502"
"S[2]","practice_good_item","DashedSentence","17","is","2853","practice","3","442","502"
"S[2]","practice_good_item","DashedSentence","18","famous","2853","practice","3","402","502"
"S[2]","practice_good_item","DashedSentence","19","for","2853","practice","3","479","502"
"S[2]","practice_good_item","DashedSentence","20","revolutionizing","2853","practice","3","422","502"
"S[2]","practice_good_item","DashedSentence","21","country","2853","practice","3","432","502"
"S[2]","practice_good_item","DashedSentence","22","music.","2853","practice","3","642","502"
"S[2]","practice_good_item","grade","Choice","6","2853","practice","3","NULL","502"
"S[2]","practice_bad_item","DashedSentence","1","Lucy","2802","practice","4","431","505"
"S[2]","practice_bad_item","DashedSentence","2","bought","2802","practice","4","452","505"
"S[2]","practice_bad_item","DashedSentence","3","this","2802","practice","4","492","505"
"S[2]","practice_bad_item","DashedSentence","4","book","2802","practice","4","462","505"
"S[2]","practice_bad_item","DashedSentence","5","as","2802","practice","4","418","505"
"S[2]","practice_bad_item","DashedSentence","6","a","2802","practice","4","392","505"
"S[2]","practice_bad_item","DashedSentence","7","gift","2802","practice","4","481","505"
"S[2]","practice_bad_item","DashedSentence","8","to","2802","practice","4","404","505"
"S[2]","practice_bad_item","DashedSentence","9","her","2802","practice","4","422","505"
"S[2]","practice_bad_item","DashedSentence","10","grandpa","2802","practice","4","420","505"
"S[2]","practice_bad_item","DashedSentence","11","who","2802","practice","4","395","505"
"S[2]","practice_bad_item","DashedSentence","12","will","2802","practice","4","411","505"
"S[2]","practice_bad_item","DashedSentence","13","borrow","2802","practice","4","400","505"
"S[2]","practice_bad_item","DashedSentence","14","the","2802","practice","4","412","505"
"S[2]","practice_bad_item","DashedSentence","15","book","2802","practice","4","404","505"
"S[2]","practice_bad_item","DashedSentence","16","yesterday.","2802","practice","4","1074","505"
"S[2]","practice_bad_item","grade","Choice","1","2802","practice","4","NULL","505"
"S[2]","practice_rest","DashedSentence","1","If","2938","practice","5","402","504"
"S[2]","practice_rest","DashedSentence","2","this","2938","practice","5","406","504"
"S[2]","practice_rest","DashedSentence","3","apartment","2938","practice","5","395","504"
"S[2]","practice_rest","DashedSentence","4","had","2938","practice","5","419","504"
