"label","penn_element_name","parameter","value","rt","person","condition","type","trial_n","itemnum","reading_time","subject","comma","v2"
"exp","grade","Choice","1","1524","Hande","Base","exp","10","38","NULL","S[1]","0","1"
"exp","grade","Choice","3","1376","Danni","MissingVComma","exp","12","35","NULL","S[1]","1","0"
"exp","grade","Choice","5","1978","Hande","MissingVComma","exp","15","43","NULL","S[1]","1","0"
"exp","grade","Choice","3","2515","Jackson","MissingVComma","exp","18","11","NULL","S[1]","1","0"
"exp","grade","Choice","1","3165","Will","Base","exp","21","26","NULL","S[1]","0","1"
"exp","grade","Choice","2","2034","Carmen","Base","exp","24","2","NULL","S[1]","0","1"
"exp","grade","Choice","2","1956","Jackson","Base","exp","27","14","NULL","S[1]","0","1"
"exp","grade","Choice","2","2642","Matthew","Base","exp","30","18","NULL","S[1]","0","1"
"exp","grade","Choice","4","2803","Will","MissingVComma","exp","32","23","NULL","S[1]","1","0"
"exp","grade","Choice","1","1875","Carmen","MissingVComma","exp","35","7","NULL","S[1]","1","0"
"exp","grade","Choice","2","2614","Hande","MissingVBase","exp","38","40","NULL","S[1]","0","0"
"exp","grade","Choice","6","1547","Danni","MissingVBase","exp","41","32","NULL","S[1]","0","0"
"exp","grade","Choice","1","1817","Carmen","MissingVBase","exp","44","4","NULL","S[1]","0","0"
"exp","grade","Choice","3","2590","Hande","MissingVComma","exp","47","39","NULL","S[1]","1","0"
"exp","grade","Choice","4","3146","Carmen","Comma","exp","50","5","NULL","S[1]","1","1"
"exp","grade","Choice","2","2380","Tessa","Base","exp","52","46","NULL","S[1]","0","1"
"exp","grade","Choice","2","4765","Matthew","Comma","exp","55","17","NULL","S[1]","1","1"
"exp","grade","Choice","1","1300","Tessa","Comma","exp","58","49","NULL","S[1]","1","1"
"exp","grade","Choice","1","1655","Hande","Comma","exp","61","41","NULL","S[1]","1","1"
"exp","grade","Choice","2","2623","Matthew","MissingVBase","exp","64","20","NULL","S[1]","0","0"
"exp","grade","Choice","2","2207","Carmen","Base","exp","67","6","NULL","S[1]","0","1"
"exp","grade","Choice","1","2428","Jackson","Comma","exp","70","13","NULL","S[1]","1","1"
"exp","grade","Choice","1","1254","Danni","MissingVComma","exp","72","31","NULL","S[1]","1","0"
