"label","penn_element_name","parameter","value","rt","person","condition","type","trial_n","itemnum","reading_time","subject","comma","v2"
"exp","DashedSentence","24","","1524","Hande","Base","exp","10","38","1989","S[1]","0","1"
"exp","DashedSentence","23","wish.","1524","Hande","Base","exp","10","38","279","S[1]","0","1"
"exp","DashedSentence","22","my","1524","Hande","Base","exp","10","38","269","S[1]","0","1"
"exp","DashedSentence","21","fulfilled","1524","Hande","Base","exp","10","38","259","S[1]","0","1"
"exp","DashedSentence","20","night","1524","Hande","Base","exp","10","38","255","S[1]","0","1"
"exp","DashedSentence","19","last","1524","Hande","Base","exp","10","38","249","S[1]","0","1"
"exp","DashedSentence","18","see","1524","Hande","Base","exp","10","38","240","S[1]","0","1"
"exp","DashedSentence","17","to","1524","Hande","Base","exp","10","38","245","S[1]","0","1"
"exp","DashedSentence","16","went","1524","Hande","Base","exp","10","38","255","S[1]","0","1"
"exp","DashedSentence","15","area","1524","Hande","Base","exp","10","38","253","S[1]","0","1"
"exp","DashedSentence","14","the","1524","Hande","Base","exp","10","38","260","S[1]","0","1"
"exp","DashedSentence","13","from","1524","Hande","Base","exp","10","38","249","S[1]","0","1"
"exp","DashedSentence","12","remove","1524","Hande","Base","exp","10","38","260","S[1]","0","1"
"exp","DashedSentence","11","to","1524","Hande","Base","exp","10","38","257","S[1]","0","1"
"exp","DashedSentence","10","trying","1524","Hande","Base","exp","10","38","231","S[1]","0","1"
"exp","DashedSentence","9","was","1524","Hande","Base","exp","10","38","261","S[1]","0","1"
"exp","DashedSentence","8","police","1524","Hande","Base","exp","10","38","249","S[1]","0","1"
"exp","DashedSentence","7","the","1524","Hande","Base","exp","10","38","259","S[1]","0","1"
"exp","DashedSentence","6","who","1524","Hande","Base","exp","10","38","408","S[1]","0","1"
"exp","DashedSentence","5","girl","1524","Hande","Base","exp","10","38","210","S[1]","0","1"
"exp","DashedSentence","4","the","1524","Hande","Base","exp","10","38","357","S[1]","0","1"
"exp","DashedSentence","3","which","1524","Hande","Base","exp","10","38","229","S[1]","0","1"
"exp","DashedSentence","2","comet","1524","Hande","Base","exp","10","38","214","S[1]","0","1"
"exp","DashedSentence","1","The","1524","Hande","Base","exp","10","38","225","S[1]","0","1"
"exp","DashedSentence","14","customers.","1376","Danni","MissingVComma","exp","12","35","1248","S[1]","1","0"
"exp","DashedSentence","13","among","1376","Danni","MissingVComma","exp","12","35","263","S[1]","1","0"
